MSOA code,Total annual income,,,
E02001225," 52,000 ",,,
E02001226," 43,700 ",,,
E02001227," 56,900 ",,,
E02001228," 50,900 ",,,
E02001229," 42,000 ",,,
E02001230," 41,600 ",,,
E02001231," 41,100 ",,,
E02001232," 35,600 ",,,
E02001233," 32,300 ",,,
E02001234," 31,700 ",,,
E02001235," 37,100 ",,,
E02001236," 31,700 ",,,
E02001237," 36,200 ",,,
E02001238," 35,500 ",,,
E02001239," 34,600 ",,,
E02001240," 38,200 ",,,
E02001241," 27,600 ",,,
E02001242," 42,300 ",,,
E02001243," 42,800 ",,,
E02001244," 43,600 ",,,
E02001245," 36,600 ",,,
E02001246," 32,200 ",,,
E02001247," 33,500 ",,,
E02001248," 34,400 ",,,
E02001249," 35,000 ",,,
E02001250," 40,400 ",,,
E02001251," 40,700 ",,,
E02001252," 39,300 ",,,
E02001253," 37,200 ",,,
E02001254," 35,300 ",,,
E02001255," 27,800 ",,,
E02001256," 32,600 ",,,
E02001257," 32,100 ",,,
E02001258," 40,800 ",,,
E02001259," 34,200 ",,,
E02001260," 43,500 ",,,
E02001261," 41,700 ",,,
E02001262," 37,200 ",,,
E02001263," 45,900 ",,,
E02001264," 42,500 ",,,
E02001265," 40,500 ",,,
E02001266," 35,500 ",,,
E02001267," 38,400 ",,,
E02001268," 44,700 ",,,
E02001269," 39,200 ",,,
E02001270," 48,500 ",,,
E02001271," 41,100 ",,,
E02001272," 50,900 ",,,
E02001273," 48,600 ",,,
E02001274," 50,000 ",,,
E02001275," 32,300 ",,,
E02001276," 41,500 ",,,
E02001277," 40,500 ",,,
E02001278," 52,700 ",,,
E02001279," 54,300 ",,,
E02001280," 37,700 ",,,
E02001281," 49,100 ",,,
E02001282," 49,200 ",,,
E02001283," 49,500 ",,,
E02001284," 58,900 ",,,
E02001285," 55,700 ",,,
E02001286," 54,400 ",,,
E02001287," 45,800 ",,,
E02001288," 42,800 ",,,
E02001289," 43,400 ",,,
E02001290," 40,600 ",,,
E02001291," 34,800 ",,,
E02001292," 42,700 ",,,
E02001293," 39,600 ",,,
E02001294," 37,100 ",,,
E02001295," 26,400 ",,,
E02001296," 27,700 ",,,
E02001297," 33,400 ",,,
E02001298," 30,100 ",,,
E02001299," 37,600 ",,,
E02001300," 33,600 ",,,
E02001301," 31,300 ",,,
E02001302," 33,300 ",,,
E02001303," 31,300 ",,,
E02001304," 41,100 ",,,
E02001305," 38,800 ",,,
E02001306," 39,100 ",,,
E02001307," 45,400 ",,,
E02001308," 36,700 ",,,
E02001309," 36,200 ",,,
E02001310," 33,500 ",,,
E02001311," 37,200 ",,,
E02001312," 36,000 ",,,
E02001313," 31,700 ",,,
E02001314," 45,300 ",,,
E02001315," 40,600 ",,,
E02001316," 31,800 ",,,
E02001317," 34,400 ",,,
E02001318," 35,400 ",,,
E02001319," 31,900 ",,,
E02001320," 34,700 ",,,
E02001321," 39,000 ",,,
E02001322," 37,600 ",,,
E02001323," 39,400 ",,,
E02001324," 36,100 ",,,
E02001325," 42,400 ",,,
E02001326," 39,900 ",,,
E02005176," 38,800 ",,,
E02005177," 32,200 ",,,
E02005178," 28,800 ",,,
