geography code,level_4_qualifications_and_above
E02001483,1426
E02001484,1713
E02001485,740
E02001486,2501
E02001487,987
E02001488,1708
E02001489,2298
E02001490,1639
E02001491,725
E02001492,2627
E02001493,718
E02001494,2727
E02001495,1142
E02001496,1517
E02001497,1136
E02001498,1778
E02001499,1875
E02001500,1924
E02001501,1825
E02001502,1779
E02001503,2280
E02001504,2363
E02001505,1154
E02001506,3751
E02001507,1825
E02001508,1325
E02002684,1478
E02002685,1285
E02002686,621
E02002687,801
E02002688,734
E02002689,1241
E02002691,1906
E02002692,2294
E02002693,1411
E02002694,2672
E02002695,1574
E02002696,1773
E02002697,1922
E02002698,1663
E02002699,3090
E02002700,993
E02002701,2174
E02002702,2999
E02002703,2770
E02002704,1283
E02002705,1753
E02002706,1755
E02002707,2326
E02002708,1624
E02002709,1442
E02002710,1689
E02002711,2382
E02002712,1322
E02002714,1446
E02002715,3676
E02002716,1456
E02002717,1304
E02002718,2714
E02002719,1621
E02002720,1509
E02002721,1221
E02002722,1103
E02002723,1019
E02002724,679
E02002725,1257
E02006814,1292
E02006891,1639
E02006892,1091
E02002652,1534
E02002653,367
E02002654,268
E02002655,529
E02002656,875
E02002657,750
E02002658,1078
E02002659,753
E02002660,540
E02002661,666
E02002662,622
E02002663,1574
E02002664,1121
E02002665,1891
E02002666,1699
E02002667,886
E02002668,401
E02002669,2783
E02002670,833
E02002671,806
E02002672,298
E02002673,708
E02002674,843
E02002675,989
E02002676,1734
E02002677,1458
E02002678,901
E02002679,1062
E02002680,1572
E02002681,737
E02002682,624
E02006813,785
E02002726,899
E02002727,275
E02002728,607
E02002729,752
E02002730,580
E02002731,358
E02002732,1667
E02002733,827
E02002734,517
E02002735,592
E02002736,500
E02002737,919
E02002738,895
E02002739,781
E02002740,437
E02002741,1995
E02002742,1139
E02002743,653
E02002744,377
E02002745,1279
E02002746,1628
E02002747,1523
E02002748,1770
E02002749,1866
E02002750,1244
E02002751,1088
E02002752,1099
E02002753,1496
E02002754,1304
E02002755,811
E02002756,668
E02002757,1022
E02002758,546
E02002759,1942
E02002760,1131
E02002761,1248
E02002762,717
E02002763,617
E02002764,458
E02002765,644
E02002766,1449
E02002767,1297
E02002768,1703
E02002769,1281
E02002770,1420
E02002771,1532
E02002772,1835
E02002773,1409
E02002774,1694
E02002775,1207
E02002776,1171
E02002777,2142
E02002778,2747
E02002779,2724
E02002780,1807
E02002781,2589
E02002782,2199
E02002783,2082
E02002784,4169
E02002785,1423
E02002786,2129
E02002787,2155
E02002788,3304
E02002789,1282
E02002790,3943
E02002791,2035
E02002792,2897
E02002793,2000
E02002794,2207
E02002795,2725
E02005742,1983
E02005743,1679
E02005744,1991
E02005745,1854
E02005746,1472
E02005747,1253
E02005748,2189
E02005749,2242
E02005750,2338
E02005751,3269
E02005752,1993
E02005753,2531
E02005754,2073
E02005755,1444
E02005756,1827
E02005757,2075
E02005758,1856
E02005759,2419
E02005760,1911
E02005761,1544
E02005762,1560
E02005763,1657
E02005764,1873
E02005765,1555
E02005766,1730
E02005767,2234
E02005768,1675
E02005769,1411
E02005770,1867
E02005771,1573
E02005772,1917
E02005773,2058
E02005774,1942
E02005775,3234
E02005776,2488
E02005777,2676
E02005778,1973
E02005779,3016
E02005780,3868
E02005781,2151
E02005782,2352
E02005783,2157
E02005784,1251
E02005785,1859
E02005786,1766
E02005787,2128
E02005788,1657
E02005789,2219
E02005790,1854
E02005791,1285
E02005794,2724
E02006870,2054
E02005795,1197
E02005796,1842
E02005797,924
E02005798,2280
E02005799,2099
E02005800,1323
E02005801,661
E02005802,1231
E02005803,1775
E02005804,2037
E02005805,1197
E02005806,708
E02005807,1519
E02005808,1949
E02005809,1536
E02005810,2726
E02005811,2248
E02005812,1975
E02005813,1338
E02005814,1076
E02005815,1802
E02005816,1761
E02005817,1679
E02005818,1645
E02001509,927
E02001510,702
E02001511,717
E02001512,1245
E02001513,1493
E02001514,774
E02001515,513
E02001516,581
E02001517,1019
E02001518,1723
E02001519,603
E02001520,2337
E02001521,1788
E02001522,659
E02001523,964
E02001524,1882
E02001525,516
E02001526,394
E02001527,1047
E02001528,1318
E02001529,1124
E02001530,545
E02001531,657
E02001532,2290
E02001533,685
E02001534,1198
E02001535,1592
E02001536,1327
E02001537,1209
E02001538,895
E02001539,408
E02001540,1483
E02001541,1141
E02001542,603
E02001543,780
E02001544,869
E02001545,1521
E02001546,1244
E02001547,906
E02001548,562
E02001549,999
E02001550,850
E02001551,685
E02001552,951
E02001553,1237
E02001554,990
E02001555,860
E02001556,1001
E02001557,1955
E02001558,1329
E02001559,1843
E02001560,1021
E02001561,624
E02001562,851
E02001563,1984
E02001564,1732
E02001565,2070
E02001566,1158
E02001567,1005
E02001568,504
E02001569,783
E02001570,625
E02001571,1159
E02001572,526
E02001573,660
E02001574,1058
E02001575,437
E02001576,1370
E02001577,1930
E02001578,1334
E02001579,1391
E02001580,1134
E02001581,755
E02001582,746
E02001583,476
E02001584,1573
E02001585,585
E02001586,725
E02001587,503
E02001588,511
E02001589,1610
E02001590,347
E02001591,670
E02001592,1058
E02001593,627
E02001594,783
E02001595,1398
E02001596,1358
E02001597,733
E02001598,1611
E02001599,1424
E02001600,2514
E02001601,924
E02001602,1042
E02001603,796
E02001604,1258
E02001605,1398
E02001606,1095
E02001607,1198
E02001608,1181
E02001609,1754
E02001610,1653
E02001611,1036
E02001612,1230
E02001613,1645
E02001614,1996
E02001615,1719
E02001616,804
E02001617,417
E02001618,2632
E02001619,612
E02001620,579
E02001621,472
E02001622,823
E02001623,643
E02001624,1099
E02001625,594
E02001626,1396
E02001627,1267
E02001628,522
E02001629,716
E02001630,1312
E02001631,1673
E02001632,1697
E02001633,1751
E02001634,3549
E02001635,1024
E02001636,2032
E02001637,628
E02001638,2111
E02001639,2494
E02001640,2466
E02001642,1215
E02001643,2447
E02001646,2701
E02001647,773
E02001648,2936
E02001649,758
E02001650,2349
E02001651,3800
E02001652,3135
E02001653,1069
E02001654,811
E02001655,700
E02001656,3384
E02001657,4005
E02001658,272
E02001659,658
E02001660,4157
E02001661,1407
E02001662,830
E02001663,2654
E02001664,963
E02001665,4236
E02001666,695
E02001669,2191
E02001670,477
E02001671,1045
E02001672,802
E02001673,1077
E02001674,2146
E02001675,1105
E02001676,1933
E02001678,3936
E02001679,907
E02001680,476
E02001681,2596
E02006803,1787
E02006843,3337
E02006844,2290
E02006868,1889
E02006869,1119
E02002183,2145
E02002184,5204
E02002185,2113
E02002186,2952
E02002187,2242
E02002188,1891
E02002189,1177
E02002190,1170
E02002191,749
E02002192,2921
E02002193,620
E02002194,863
E02002195,1885
E02002196,1285
E02002197,2204
E02002198,1837
E02002199,1463
E02002200,2852
E02002201,2377
E02002202,2055
E02002203,805
E02002204,2911
E02002205,2510
E02002206,1086
E02002207,1486
E02002208,861
E02002209,437
E02002210,1147
E02002211,1507
E02002212,981
E02002213,1350
E02002214,821
E02002215,1282
E02002216,939
E02002217,970
E02002218,1485
E02002219,759
E02002220,813
E02002221,1715
E02002222,1019
E02002223,851
E02002224,829
E02002225,1535
E02002226,2250
E02002227,494
E02002228,583
E02002229,1317
E02002230,1020
E02002231,1817
E02002232,722
E02002233,729
E02002234,467
E02002235,696
E02002236,847
E02002237,1046
E02002238,593
E02002239,1385
E02002240,1841
E02002241,1319
E02002242,1009
E02002243,1158
E02002244,885
E02002245,456
E02002246,2094
E02002247,3772
E02002248,689
E02002249,507
E02002250,2353
E02002251,1188
E02002252,966
E02002253,766
E02002254,1530
E02002255,630
E02002256,2196
E02002257,633
E02002258,1983
E02002259,1667
E02002260,1731
E02002261,1367
E02002262,1585
E02002263,1293
E02002264,2089
E02002265,1278
E02002266,1352
E02002267,1384
E02002268,1688
E02002269,2230
E02002270,2569
E02002271,1483
E02002272,1410
E02002273,1173
E02002274,1463
E02002275,1427
E02002276,1090
E02002277,908
E02002278,1042
E02002279,860
E02002280,526
E02002281,1407
E02002282,767
E02002283,779
E02002284,894
E02002285,1514
E02002286,802
E02002287,1108
E02002288,991
E02002289,541
E02002290,1363
E02002291,1269
E02002292,1446
E02002293,545
E02002294,1079
E02002295,864
E02002296,1559
E02002297,2018
E02002298,1019
E02002299,806
E02002300,1721
E02002301,1396
E02002302,1491
E02002303,1658
E02002304,1824
E02002305,758
E02002306,1612
E02002307,877
E02002308,1442
E02002309,1341
E02002310,1025
E02002311,1253
E02002312,1554
E02002313,1001
E02002314,1434
E02002315,1148
E02002316,1424
E02002317,1015
E02002318,1093
E02002319,1370
E02002320,1557
E02002321,1869
E02002322,1762
E02002323,2455
E02002324,1587
E02002325,1980
E02002326,1861
E02002327,2759
E02002328,2219
E02002329,3636
E02002330,2172
E02002331,1389
E02002332,1333
E02002333,2359
E02002334,2395
E02002335,2684
E02002336,2443
E02002337,2250
